second_pass_family,left_field,left_family,right_field,right_family,left_transform,right_transform,operator,priority_wave,blueprint_id
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,shock_24h,delta_1h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_shock_24h_SafeDiv_open_interest_change_24h_delta_1h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,shock_24h,delta_8h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_shock_24h_SafeDiv_open_interest_change_24h_delta_8h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_1h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_1h_Mul_liquidity_rank_active_universe_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_1h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_1h_Mul_liquidity_rank_active_universe_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_2h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_Mul_liquidity_rank_active_universe_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_2h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_Mul_liquidity_rank_active_universe_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_4h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_Mul_liquidity_rank_active_universe_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_4h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_Mul_liquidity_rank_active_universe_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_8h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_8h_Mul_liquidity_rank_active_universe_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_8h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_8h_Mul_liquidity_rank_active_universe_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,shock_24h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_shock_24h_Mul_liquidity_rank_active_universe_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,shock_24h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_shock_24h_Mul_liquidity_rank_active_universe_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_1h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_1h_Mul_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_1h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_1h_Mul_median_quote_volume_168h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_2h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_Mul_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_2h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_Mul_median_quote_volume_168h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_4h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_Mul_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_4h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_Mul_median_quote_volume_168h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_8h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_8h_Mul_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_8h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_8h_Mul_median_quote_volume_168h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,shock_24h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_shock_24h_Mul_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,shock_24h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_shock_24h_Mul_median_quote_volume_168h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_1h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_1h_Mul_open_interest_change_24h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_1h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_1h_Mul_open_interest_change_24h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_2h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_Mul_open_interest_change_24h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_2h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_Mul_open_interest_change_24h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_4h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_Mul_open_interest_change_24h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_4h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_Mul_open_interest_change_24h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_8h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_8h_Mul_open_interest_change_24h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_8h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_delta_8h_Mul_open_interest_change_24h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,shock_24h,delta_2h,Mul,True,core16me_H2_kline_taker_buy_quote_share_shock_24h_Mul_open_interest_change_24h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,shock_24h,shock_24h,Mul,True,core16me_H2_kline_taker_buy_quote_share_shock_24h_Mul_open_interest_change_24h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_1h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_1h_SafeDiv_liquidity_rank_active_universe_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_1h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_1h_SafeDiv_liquidity_rank_active_universe_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_2h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_liquidity_rank_active_universe_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_2h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_liquidity_rank_active_universe_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_4h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_SafeDiv_liquidity_rank_active_universe_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_4h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_SafeDiv_liquidity_rank_active_universe_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_8h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_8h_SafeDiv_liquidity_rank_active_universe_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,delta_8h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_8h_SafeDiv_liquidity_rank_active_universe_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,shock_24h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_shock_24h_SafeDiv_liquidity_rank_active_universe_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,liquidity_rank_active_universe,liquidity,shock_24h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_shock_24h_SafeDiv_liquidity_rank_active_universe_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_1h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_1h_SafeDiv_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_1h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_1h_SafeDiv_median_quote_volume_168h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_2h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_2h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_median_quote_volume_168h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_4h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_SafeDiv_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_4h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_SafeDiv_median_quote_volume_168h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_8h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_8h_SafeDiv_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,delta_8h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_8h_SafeDiv_median_quote_volume_168h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,shock_24h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_shock_24h_SafeDiv_median_quote_volume_168h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,median_quote_volume_168h,liquidity,shock_24h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_shock_24h_SafeDiv_median_quote_volume_168h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_1h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_1h_SafeDiv_open_interest_change_24h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_1h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_1h_SafeDiv_open_interest_change_24h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_2h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_open_interest_change_24h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_2h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_2h_SafeDiv_open_interest_change_24h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_4h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_SafeDiv_open_interest_change_24h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_4h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_4h_SafeDiv_open_interest_change_24h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_8h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_8h_SafeDiv_open_interest_change_24h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,delta_8h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_delta_8h_SafeDiv_open_interest_change_24h_shock_24h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,shock_24h,delta_2h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_shock_24h_SafeDiv_open_interest_change_24h_delta_2h
H2_I4_near_miss_repair,kline_taker_buy_quote_share,taker_flow,open_interest_change_24h,open_interest,shock_24h,shock_24h,SafeDiv,True,core16me_H2_kline_taker_buy_quote_share_shock_24h_SafeDiv_open_interest_change_24h_shock_24h
