candidate_id,family_id,primary_seed_field,source_fields,expression,skeleton_key,production_key,motif,static_valid,uses_may,allowed_next_use
a7ab3_8a63f47f08ef2ff2,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Sub(Mean(trade_return_1h,24),Decay(trade_return_1h,4)),Sub(TSRank(trade_return_1h,24),Rank(trade_return_1h)))",skeleton_d28a4a1d3d3ef772,prod_5e2ddc6848a8647b,horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_54087a42f7c10ba9,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Mul(Sub(Mean(trade_return_1h,24),Mean(trade_return_1h,168)),Mean(Delta(trade_return_1h,4),72))",skeleton_9d763470c3811caf,prod_b98c981c78f86d30,self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_e3e5d9d8a8429553,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(TSRank(trade_return_1h,72),TSRank(trade_return_1h,168)),-3,3)",skeleton_2c7cbbca5fb2e3ff,prod_a8fe6605cb56c896,clip_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_29a63a6062424850,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Sub(Decay(trade_return_1h,12),Decay(trade_return_1h,24)),3)",skeleton_1bfeeed2faa0c752,prod_8e644e9ec4718486,winsor_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_972af57f374b5dfa,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Decay(Mean(Delta(trade_return_1h,4),72),12)",skeleton_791a3cbc00bffd5b,prod_3884afec03689cbd,decay_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_98b89c29ed9d981a,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Rank(Sub(Decay(Delta(trade_return_1h,24),12),Mul(Rank(Delta(trade_return_1h,24)),TSRank(Mean(trade_return_1h,168),72))))",skeleton_55190e4dae05846e,prod_de6f7d73aed56a96,rank_horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_86e5ec09c46a292b,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(TSRank(Mean(trade_return_1h,168),72),Clip(ZScore(trade_return_1h),-3,3)))",skeleton_98d9fdb977d26ca6,prod_9935966b8924989e,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_c96b6ce75090d30c,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(ZScore(Delta(Mean(trade_return_1h,168),4)),Sub(ZScore(Mean(trade_return_1h,4)),ZScore(trade_return_1h))),-3,3)",skeleton_b76f814c406fe774,prod_43ffa06fc73cf307,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_19c5ae8eb5cebf96,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Mul(Rank(Sub(Mean(trade_return_1h,168),Mean(trade_return_1h,4))),Decay(Delta(trade_return_1h,24),4)),3)",skeleton_ccfa2357b3384254,prod_730aac3ca69a9422,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_eaae2209184ca101,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Sub(Decay(trade_return_1h,12),Decay(trade_return_1h,24)))",skeleton_80be2e39216c5bd2,prod_d8e79de02a0cbdcc,single_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_39d7d82ced61179e,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Rank(Clip(Delta(trade_return_1h,4),-3,3))",skeleton_3f55f7b241c017b0,prod_ba82ada35e673e0a,rank_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_7fa990b397bb88bd,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Winsor(Delta(trade_return_1h,24),3))",skeleton_7d48c4b2a2648ef2,prod_db361ebd7f495722,zscore_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_dfba4b96be94d2d4,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Clip(Mean(trade_return_1h,24),-3,3),Rank(trade_return_1h))",skeleton_db44ca1a799bf920,prod_187e9026e98edec4,horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_b979e5779612d9dd,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Mul(Winsor(Mean(trade_return_1h,24),3),Winsor(ZScore(trade_return_1h),3))",skeleton_e25be550185307eb,prod_c77af23699f5ad5f,self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_6a5ba7fe2527a46c,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Rank(Mean(Delta(trade_return_1h,24),24)),-3,3)",skeleton_929d58856d54a847,prod_e449fddf523ca4ba,clip_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_03c8dd1e0f1406bb,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(ZScore(Decay(Delta(trade_return_1h,1),12)),3)",skeleton_631f433b0ee241f4,prod_3d36a8835cdf28f4,winsor_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_1d0854ac5ec2163d,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Decay(Sub(TSRank(Delta(trade_return_1h,4),168),Rank(Delta(trade_return_1h,24))),12)",skeleton_7575df9b531b63a5,prod_16ca27c1c6a0bce8,decay_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_8a1c4ec5e39f7a5a,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Rank(Sub(Mul(Rank(Mean(trade_return_1h,72)),ZScore(Delta(trade_return_1h,24))),Sub(ZScore(Mean(trade_return_1h,168)),ZScore(Mean(trade_return_1h,24)))))",skeleton_4cc6aa92a92e6b32,prod_e8c554ee2a3a8724,rank_horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_5244861cb5bca9f2,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(Mul(TSRank(trade_return_1h,24),ZScore(Mean(trade_return_1h,168))),Rank(Clip(ZScore(trade_return_1h),-3,3))))",skeleton_e52f279333afdc9d,prod_8bb33185279cfaf6,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_a0aabd2a13785c73,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(Mul(Decay(trade_return_1h,24),ZScore(Delta(trade_return_1h,4))),ZScore(trade_return_1h)),-3,3)",skeleton_007ceb90e9646fcf,prod_a95f791bfd5358fe,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_8680c0acdd0b3423,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Mul(Sub(ZScore(Mean(trade_return_1h,168)),ZScore(Mean(trade_return_1h,72))),Rank(Delta(trade_return_1h,24))),3)",skeleton_2c7cd176105b2194,prod_3ea07d65a9e9f256,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_ac1d320447cdc0e1,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(ZScore(Delta(trade_return_1h,1)),ZScore(Delta(trade_return_1h,24)))",skeleton_85fc7254db9ccb56,prod_8b3a0e02509b8a7e,single_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_679945dd31d9c8a9,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Rank(Sub(Rank(Decay(trade_return_1h,24)),Rank(Decay(trade_return_1h,4))))",skeleton_0d0b63c5ed3bddab,prod_603d364565462afc,rank_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_fe15894bfdfc1a5c,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(TSRank(Sub(Mean(trade_return_1h,4),Mean(trade_return_1h,72)),24))",skeleton_4bc196574b0d7a0a,prod_1debfd1164de9f7a,zscore_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_43a43b7a0cdeb066,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Decay(Sub(Mean(trade_return_1h,24),Mean(trade_return_1h,72)),24),Sub(ZScore(Delta(trade_return_1h,1)),ZScore(Delta(trade_return_1h,24))))",skeleton_1889f2effaf94e35,prod_a1a05a4ec1de64ab,horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_5261a71eb76ffc5c,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Mul(Clip(Sub(Mean(trade_return_1h,24),Decay(trade_return_1h,24)),-3,3),Rank(Winsor(ZScore(trade_return_1h),3)))",skeleton_aee8e5fc677d3eb9,prod_379dbc439456e4cf,self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_8f57be3d29974d8c,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Winsor(Sub(Mean(trade_return_1h,24),Decay(trade_return_1h,24)),3),-3,3)",skeleton_7ca490bb03c28445,prod_9e5ee782ba923396,clip_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_711cade90871327e,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Rank(Clip(ZScore(trade_return_1h),-3,3)),3)",skeleton_05854e1690e1ce55,prod_5b3b89cbe9f72c68,winsor_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_53755de12a280dc9,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Decay(Rank(Winsor(ZScore(trade_return_1h),3)),12)",skeleton_f79c9d833a6de838,prod_9db19984ea21a39c,decay_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_d859121ff3e39afc,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Rank(Sub(ZScore(Clip(Delta(trade_return_1h,24),-3,3)),Rank(Sub(Mean(trade_return_1h,168),Mean(trade_return_1h,24)))))",skeleton_fdce97d2c095b283,prod_f3a070ba98ecadb5,rank_horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_ab7fdd25b4c75562,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(ZScore(Winsor(Delta(trade_return_1h,1),3)),ZScore(Decay(Delta(trade_return_1h,1),4))))",skeleton_272214a507ab883c,prod_d3eb5c0342e9696d,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_c9c8307b3c643e07,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(Sub(Decay(Mean(trade_return_1h,168),24),Mean(Decay(trade_return_1h,4),4)),Sub(Rank(Decay(trade_return_1h,12)),Rank(Decay(trade_return_1h,4)))),-3,3)",skeleton_931e68d04ee11844,prod_056e7ad5caa8f44f,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_9ceb8e98bfce170c,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Mul(Mul(Rank(Delta(trade_return_1h,24)),TSRank(Mean(trade_return_1h,168),72)),ZScore(Clip(Delta(trade_return_1h,24),-3,3))),3)",skeleton_43e74ec1ca3f49da,prod_6d6d01e9711e8ccf,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_2f3b0f69f16a25fb,G0_price_return_reversal,trade_return_1h,trade_return_1h,Rank(trade_return_1h),skeleton_9f0d66272a0406f6,prod_f1967384d962760b,single_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_58ec532839b9a1fe,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(TSRank(trade_return_1h,72))",skeleton_8196f9d0a18000c7,prod_bf6a0736d8853070,zscore_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_1586b50c1584aab2,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Delta(trade_return_1h,1),ZScore(Sub(Decay(trade_return_1h,4),Decay(trade_return_1h,12))))",skeleton_92a027c8f2dc1bf3,prod_d9e852b96887a3ae,horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_4d7fb3c2475e26f0,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Mul(Mean(trade_return_1h,24),Sub(TSRank(Delta(trade_return_1h,4),24),Rank(Delta(trade_return_1h,24))))",skeleton_f45bdb251a88eaea,prod_6199adfa8867969c,self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_5274372f69697f08,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Rank(Sub(Rank(Delta(trade_return_1h,24)),Decay(ZScore(trade_return_1h),24)))",skeleton_f2a1f4fc989ed2f7,prod_d2adf3bf20dbeb32,rank_horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_691c4ba1a52a87cb,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(ZScore(Mean(trade_return_1h,168)),Sub(Decay(trade_return_1h,24),Decay(trade_return_1h,12))))",skeleton_b4719759c75cc639,prod_0b0687502f84bf2e,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_468df1ab66c1556f,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(TSRank(Delta(trade_return_1h,4),168),Clip(Delta(trade_return_1h,4),-3,3)),-3,3)",skeleton_9e297cdfa8071e81,prod_51fe2182fc723b6d,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_74290735e44e208c,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(TSRank(trade_return_1h,168),Rank(trade_return_1h))",skeleton_b1cbe6cc6bad4f18,prod_830f4ae6a9b61971,single_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_5973c62f847a49d1,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Sub(Mean(trade_return_1h,24),Decay(trade_return_1h,4)),Sub(TSRank(trade_return_1h,72),Rank(trade_return_1h)))",skeleton_d28a4a1d3d3ef772,prod_5e2ddc6848a8647b,horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_87faa7288e64034f,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Mul(Sub(Mean(trade_return_1h,24),Mean(trade_return_1h,72)),Mean(Delta(trade_return_1h,4),72))",skeleton_9d763470c3811caf,prod_b98c981c78f86d30,self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_df4e3dc5e1d40d37,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(TSRank(trade_return_1h,168),TSRank(trade_return_1h,24)),-3,3)",skeleton_2c7cbbca5fb2e3ff,prod_a8fe6605cb56c896,clip_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_cbb5b3de5f42cddf,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Sub(Decay(trade_return_1h,4),Decay(trade_return_1h,12)),3)",skeleton_1bfeeed2faa0c752,prod_8e644e9ec4718486,winsor_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_c4738366579e25df,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(TSRank(Mean(trade_return_1h,168),24),Clip(ZScore(trade_return_1h),-3,3)))",skeleton_98d9fdb977d26ca6,prod_9935966b8924989e,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_d2632633c1f42325,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Mul(Rank(Sub(Mean(trade_return_1h,168),Mean(trade_return_1h,4))),Decay(Delta(trade_return_1h,24),24)),3)",skeleton_ccfa2357b3384254,prod_730aac3ca69a9422,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_c394da6835432cf7,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Decay(Sub(TSRank(Delta(trade_return_1h,4),72),Rank(Delta(trade_return_1h,24))),12)",skeleton_7575df9b531b63a5,prod_16ca27c1c6a0bce8,decay_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_ced6188c184ada50,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(Mul(TSRank(trade_return_1h,72),ZScore(Mean(trade_return_1h,168))),Rank(Clip(ZScore(trade_return_1h),-3,3))))",skeleton_e52f279333afdc9d,prod_8bb33185279cfaf6,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_92f58128176f656c,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(Mul(Decay(trade_return_1h,12),ZScore(Delta(trade_return_1h,4))),ZScore(trade_return_1h)),-3,3)",skeleton_007ceb90e9646fcf,prod_a95f791bfd5358fe,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_be42b4f4a3005c27,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Mul(Sub(ZScore(Mean(trade_return_1h,168)),ZScore(Mean(trade_return_1h,4))),Rank(Delta(trade_return_1h,24))),3)",skeleton_2c7cd176105b2194,prod_3ea07d65a9e9f256,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_bba2fa1ab3810f6e,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(TSRank(Sub(Mean(trade_return_1h,4),Mean(trade_return_1h,24)),72))",skeleton_4bc196574b0d7a0a,prod_1debfd1164de9f7a,zscore_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_f8ceeb90f864bf4b,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Decay(Sub(Mean(trade_return_1h,24),Mean(trade_return_1h,72)),24),Sub(ZScore(Delta(trade_return_1h,1)),ZScore(Delta(trade_return_1h,4))))",skeleton_1889f2effaf94e35,prod_a1a05a4ec1de64ab,horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_aa72649e26c47ecc,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(ZScore(Winsor(Delta(trade_return_1h,1),3)),ZScore(Decay(Delta(trade_return_1h,1),24))))",skeleton_272214a507ab883c,prod_d3eb5c0342e9696d,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_c5619f0a6bacad70,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(Sub(Decay(Mean(trade_return_1h,168),24),Mean(Decay(trade_return_1h,4),72)),Sub(Rank(Decay(trade_return_1h,24)),Rank(Decay(trade_return_1h,4)))),-3,3)",skeleton_931e68d04ee11844,prod_056e7ad5caa8f44f,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_4065303e9cba19a8,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Mul(Mul(Rank(Delta(trade_return_1h,24)),TSRank(Mean(trade_return_1h,168),168)),ZScore(Clip(Delta(trade_return_1h,24),-3,3))),3)",skeleton_43e74ec1ca3f49da,prod_6d6d01e9711e8ccf,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_98496c186fd65cef,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(TSRank(trade_return_1h,168))",skeleton_8196f9d0a18000c7,prod_bf6a0736d8853070,zscore_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_af2c397111e3ab1b,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Mul(Mean(trade_return_1h,24),Sub(TSRank(Delta(trade_return_1h,4),24),Rank(Delta(trade_return_1h,1))))",skeleton_f45bdb251a88eaea,prod_6199adfa8867969c,self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_ef67fc3b8230752b,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Decay(trade_return_1h,24),-3,3)",skeleton_5190274b100e392b,prod_7d438a3bbcba55b6,clip_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_765a9e7170ce1e2a,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Rank(Sub(Rank(Delta(trade_return_1h,24)),Decay(ZScore(trade_return_1h),12)))",skeleton_f2a1f4fc989ed2f7,prod_d2adf3bf20dbeb32,rank_horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_5c25aa55f36a3ebc,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(ZScore(Mean(trade_return_1h,168)),Sub(Decay(trade_return_1h,12),Decay(trade_return_1h,4))))",skeleton_b4719759c75cc639,prod_0b0687502f84bf2e,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_76bcd3f3bd299568,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(TSRank(trade_return_1h,24),Rank(trade_return_1h))",skeleton_b1cbe6cc6bad4f18,prod_830f4ae6a9b61971,single_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_6bfd48c292a342e7,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(TSRank(trade_return_1h,72),TSRank(trade_return_1h,24)),-3,3)",skeleton_2c7cbbca5fb2e3ff,prod_a8fe6605cb56c896,clip_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_53029b4567a8b934,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Rank(Sub(Decay(Delta(trade_return_1h,24),4),Mul(Rank(Delta(trade_return_1h,24)),TSRank(Mean(trade_return_1h,168),168))))",skeleton_55190e4dae05846e,prod_de6f7d73aed56a96,rank_horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_45d4d1d831fd34dc,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Winsor(Mul(Rank(Sub(Mean(trade_return_1h,168),Mean(trade_return_1h,72))),Decay(Delta(trade_return_1h,24),12)),3)",skeleton_ccfa2357b3384254,prod_730aac3ca69a9422,winsor_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_4092255ee6888704,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(Mul(TSRank(trade_return_1h,168),ZScore(Mean(trade_return_1h,168))),Rank(Clip(ZScore(trade_return_1h),-3,3))))",skeleton_e52f279333afdc9d,prod_8bb33185279cfaf6,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_da906fe9c76e14a5,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(ZScore(Delta(trade_return_1h,1)),ZScore(Delta(trade_return_1h,4)))",skeleton_85fc7254db9ccb56,prod_8b3a0e02509b8a7e,single_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_13af0d13d0118188,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Rank(Sub(Rank(Decay(trade_return_1h,12)),Rank(Decay(trade_return_1h,24))))",skeleton_0d0b63c5ed3bddab,prod_603d364565462afc,rank_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_f9c14c179d4a4a02,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(TSRank(Sub(Mean(trade_return_1h,4),Mean(trade_return_1h,24)),24))",skeleton_4bc196574b0d7a0a,prod_1debfd1164de9f7a,zscore_atom,True,False,A7AB4_materialization_preflight_only
a7ab3_eb20491e47728827,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Sub(Decay(Sub(Mean(trade_return_1h,24),Mean(trade_return_1h,4)),12),Sub(ZScore(Delta(trade_return_1h,1)),ZScore(Delta(trade_return_1h,4))))",skeleton_1889f2effaf94e35,prod_a1a05a4ec1de64ab,horizon_spread,True,False,A7AB4_materialization_preflight_only
a7ab3_b34ecf60d22e6849,G0_price_return_reversal,trade_return_1h,trade_return_1h,"ZScore(Mul(ZScore(Winsor(Delta(trade_return_1h,1),3)),ZScore(Decay(Delta(trade_return_1h,1),12))))",skeleton_272214a507ab883c,prod_d3eb5c0342e9696d,zscore_self_interaction,True,False,A7AB4_materialization_preflight_only
a7ab3_021b4f610f3970e8,G0_price_return_reversal,trade_return_1h,trade_return_1h,"Clip(Sub(Sub(Decay(Mean(trade_return_1h,168),24),Mean(Decay(trade_return_1h,4),24)),Sub(Rank(Decay(trade_return_1h,12)),Rank(Decay(trade_return_1h,24)))),-3,3)",skeleton_931e68d04ee11844,prod_056e7ad5caa8f44f,clip_horizon_spread,True,False,A7AB4_materialization_preflight_only
